year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,2012,2016,-4,2154,2158,-4,UA,1204,N24715,EWR,CLE,77,404,20,16,2013-01-02T01:00:00Z
2013,1,1,2116,2110,6,2202,2212,-10,EV,4404,N15912,EWR,PVD,28,160,21,10,2013-01-02T02:00:00Z
2013,1,1,2302,2200,62,2342,2253,49,EV,4276,N13903,EWR,BDL,24,116,22,0,2013-01-02T03:00:00Z
2013,1,1,NA,600,NA,NA,901,NA,B6,125,N618JB,JFK,FLL,NA,1069,6,0,2013-01-01T11:00:00Z
2013,1,2,558,600,-2,916,931,-15,UA,303,N505UA,JFK,SFO,341,2586,6,0,2013-01-02T11:00:00Z
2013,1,2,600,605,-5,751,818,-27,EV,5147,N760EV,EWR,MSP,155,1008,6,5,2013-01-02T11:00:00Z
2013,1,2,603,600,3,733,745,-12,AA,301,N3CRAA,LGA,ORD,118,733,6,0,2013-01-02T11:00:00Z
2013,1,2,647,645,2,849,916,-27,UA,320,N587UA,LGA,DEN,218,1620,6,45,2013-01-02T11:00:00Z
2013,1,2,854,851,3,1146,1222,-36,UA,1670,N37434,EWR,SEA,312,2402,8,51,2013-01-02T13:00:00Z
2013,1,2,915,846,29,1353,1344,9,UA,1519,N16701,EWR,STT,195,1634,8,46,2013-01-02T13:00:00Z
2013,1,2,945,945,0,1113,1130,-17,AA,319,N545AA,LGA,ORD,119,733,9,45,2013-01-02T14:00:00Z
2013,1,2,1027,1026,1,1328,1339,-11,UA,1563,N14704,LGA,IAH,219,1416,10,26,2013-01-02T15:00:00Z
2013,1,2,1053,1100,-7,1147,1212,-25,US,2124,N945UW,LGA,BOS,34,184,11,0,2013-01-02T16:00:00Z
2013,1,2,1110,1030,40,1231,1210,21,AA,321,N4UCAA,LGA,ORD,116,733,10,30,2013-01-02T15:00:00Z
2013,1,2,1249,1258,-9,1535,1610,-35,B6,209,N658JB,JFK,LGB,333,2465,12,58,2013-01-02T17:00:00Z
2013,1,2,1256,1225,31,1409,1345,24,WN,408,N936WN,EWR,MDW,114,711,12,25,2013-01-02T17:00:00Z
2013,1,2,1256,1252,4,1600,1555,5,B6,85,N806JB,JFK,FLL,166,1069,12,52,2013-01-02T17:00:00Z
2013,1,2,1451,1232,139,1749,1533,136,UA,1121,N33284,EWR,FLL,158,1065,12,32,2013-01-02T17:00:00Z
2013,1,2,1456,1500,-4,1824,1810,14,DL,1997,N926DL,LGA,PBI,155,1035,15,0,2013-01-02T20:00:00Z
2013,1,2,1459,1500,-1,1822,1742,40,DL,2347,N521US,LGA,ATL,126,762,15,0,2013-01-02T20:00:00Z
2013,1,2,1531,1530,1,1844,1842,2,DL,1935,N360NW,LGA,TPA,156,1010,15,30,2013-01-02T20:00:00Z
2013,1,2,1542,1540,2,1805,1748,17,9E,3338,N933XJ,JFK,ORD,150,740,15,40,2013-01-02T20:00:00Z
2013,1,2,1543,1544,-1,1743,1734,9,UA,317,N452UA,LGA,CLE,79,419,15,44,2013-01-02T20:00:00Z
2013,1,2,1604,1555,9,1735,1715,20,B6,12,N273JB,JFK,SYR,48,209,15,55,2013-01-02T20:00:00Z
2013,1,2,1612,1615,-3,1835,1819,16,9E,3392,N934XJ,JFK,RDU,83,427,16,15,2013-01-02T21:00:00Z
2013,1,2,1616,1610,6,1839,1840,-1,WN,2305,N941WN,EWR,DEN,246,1605,16,10,2013-01-02T21:00:00Z
2013,1,2,1627,1630,-3,1927,1952,-25,B6,675,N779JB,JFK,LAX,321,2475,16,30,2013-01-02T21:00:00Z
2013,1,2,1803,1810,-7,2005,2027,-22,DL,2019,N927DA,LGA,MSP,144,1020,18,10,2013-01-02T23:00:00Z
2013,1,2,1852,1900,-8,2119,2129,-10,FL,645,N971AT,LGA,ATL,129,762,19,0,2013-01-03T00:00:00Z
2013,1,2,1933,1750,103,2227,2045,102,B6,527,N632JB,EWR,MCO,150,937,17,50,2013-01-02T22:00:00Z
2013,1,2,2041,2045,-4,NA,2359,NA,B6,147,N630JB,JFK,RSW,NA,1074,20,45,2013-01-03T01:00:00Z
2013,1,2,NA,1321,NA,NA,1536,NA,EV,3849,N13550,EWR,IND,NA,645,13,21,2013-01-02T18:00:00Z
2013,1,3,532,530,2,851,831,20,UA,1136,N76522,LGA,IAH,241,1416,5,30,2013-01-03T10:00:00Z
2013,1,3,550,600,-10,843,846,-3,B6,79,N708JB,JFK,MCO,152,944,6,0,2013-01-03T11:00:00Z
2013,1,3,614,615,-1,816,817,-1,US,1567,N767UW,JFK,CLT,98,541,6,15,2013-01-03T11:00:00Z
2013,1,3,629,633,-4,826,813,13,EV,4424,N22971,EWR,RDU,85,416,6,33,2013-01-03T11:00:00Z
2013,1,3,639,640,-1,917,900,17,EV,4122,N18556,EWR,SDF,138,642,6,40,2013-01-03T11:00:00Z
2013,1,3,653,655,-2,952,1030,-38,DL,1415,N3764D,JFK,SLC,272,1990,6,55,2013-01-03T11:00:00Z
2013,1,3,702,658,4,906,915,-9,UA,510,N497UA,EWR,DEN,219,1605,6,58,2013-01-03T11:00:00Z
2013,1,3,710,715,-5,1042,1045,-3,AA,443,N3BYAA,JFK,MIA,169,1089,7,15,2013-01-03T12:00:00Z
2013,1,3,759,805,-6,1019,1029,-10,9E,3538,N933XJ,JFK,MSP,164,1029,8,5,2013-01-03T13:00:00Z
2013,1,3,815,815,0,949,958,-9,9E,3521,N914XJ,JFK,ORD,123,740,8,15,2013-01-03T13:00:00Z
2013,1,3,843,850,-7,1040,1035,5,MQ,4558,N734MQ,LGA,CLE,81,419,8,50,2013-01-03T13:00:00Z
2013,1,3,851,700,111,1206,1015,111,AA,2279,N3EWAA,LGA,MIA,167,1096,7,0,2013-01-03T12:00:00Z
2013,1,3,944,745,119,1112,930,102,AA,309,N578AA,LGA,ORD,128,733,7,45,2013-01-03T12:00:00Z
2013,1,3,1012,1015,-3,1337,1332,5,UA,651,N488UA,LGA,IAH,241,1416,10,15,2013-01-03T15:00:00Z
2013,1,3,1019,940,39,1334,1250,44,AA,1871,N3HFAA,LGA,MIA,156,1096,9,40,2013-01-03T14:00:00Z
2013,1,3,1051,1050,1,1253,1340,-47,UA,40,N36280,EWR,LAS,284,2227,10,50,2013-01-03T15:00:00Z
2013,1,3,1104,1100,4,1352,1431,-39,B6,641,N625JB,JFK,SFO,327,2586,11,0,2013-01-03T16:00:00Z
2013,1,3,1326,1330,-4,1543,1527,16,EV,3840,N16919,EWR,MEM,176,946,13,30,2013-01-03T18:00:00Z
2013,1,3,1358,1356,2,1718,1650,28,B6,1783,N640JB,JFK,MCO,160,944,13,56,2013-01-03T18:00:00Z
2013,1,3,1446,1445,1,1642,1705,-23,UA,407,N528UA,EWR,DEN,212,1605,14,45,2013-01-03T19:00:00Z
2013,1,3,1454,1455,-1,1836,1805,31,UA,473,N445UA,EWR,FLL,179,1065,14,55,2013-01-03T19:00:00Z
2013,1,3,1503,1457,6,1827,1811,16,B6,61,N296JB,JFK,FLL,174,1069,14,57,2013-01-03T19:00:00Z
2013,1,3,1631,1635,-4,1756,1810,-14,MQ,3695,N510MQ,EWR,ORD,115,719,16,35,2013-01-03T21:00:00Z
2013,1,3,1706,1710,-4,2041,2015,26,AA,695,N3GEAA,JFK,AUS,254,1521,17,10,2013-01-03T22:00:00Z
2013,1,3,1748,1725,23,1958,1933,25,EV,4144,N13550,EWR,CVG,110,569,17,25,2013-01-03T22:00:00Z
2013,1,3,1910,1749,81,2021,1909,72,B6,1307,N203JB,JFK,IAD,52,228,17,49,2013-01-03T22:00:00Z
2013,1,3,1928,1928,0,19,2129,NA,EV,4532,N14171,EWR,CHS,NA,628,19,28,2013-01-04T00:00:00Z
2013,1,3,2015,1915,60,2135,2111,24,9E,3525,N903XJ,JFK,ORD,110,740,19,15,2013-01-04T00:00:00Z
2013,1,3,2046,2045,1,2340,2339,1,UA,1601,N77520,EWR,IAH,212,1400,20,45,2013-01-04T01:00:00Z
2013,1,3,2056,2040,16,2353,2323,30,B6,227,N229JB,EWR,MCO,148,937,20,40,2013-01-04T01:00:00Z
2013,1,3,2154,2155,-1,50,41,9,B6,43,N508JB,JFK,MCO,148,944,21,55,2013-01-04T02:00:00Z
2013,1,4,603,608,-5,733,755,-22,UA,654,N804UA,EWR,CLE,69,404,6,8,2013-01-04T11:00:00Z
2013,1,4,623,630,-7,818,830,-12,MQ,4599,N8EGMQ,LGA,MSP,152,1020,6,30,2013-01-04T11:00:00Z
2013,1,4,651,700,-9,1013,1014,-1,DL,1879,N377NW,LGA,FLL,172,1076,7,0,2013-01-04T12:00:00Z
2013,1,4,705,700,5,1033,1015,18,AA,2279,N3JHAA,LGA,MIA,159,1096,7,0,2013-01-04T12:00:00Z
2013,1,4,756,759,-3,1048,1115,-27,UA,1539,N27724,EWR,DFW,212,1372,7,59,2013-01-04T12:00:00Z
2013,1,4,828,829,-1,1128,1145,-17,UA,1601,N77261,EWR,FLL,162,1065,8,29,2013-01-04T13:00:00Z
2013,1,4,841,845,-4,1153,1205,-12,B6,553,N558JB,EWR,RSW,168,1068,8,45,2013-01-04T13:00:00Z
2013,1,4,908,845,23,1227,1145,42,B6,59,N265JB,JFK,TPA,156,1005,8,45,2013-01-04T13:00:00Z
2013,1,4,925,930,-5,1114,1103,11,9E,3661,N827AY,JFK,ROC,71,264,9,30,2013-01-04T14:00:00Z
2013,1,4,940,855,45,1145,1101,44,EV,4164,N11113,EWR,DTW,88,488,8,55,2013-01-04T13:00:00Z
2013,1,4,945,955,-10,1053,1100,-7,9E,3667,N8914A,JFK,PHL,36,94,9,55,2013-01-04T14:00:00Z
2013,1,4,1001,945,16,1232,1258,-26,B6,679,N729JB,JFK,LAX,310,2475,9,45,2013-01-04T14:00:00Z
2013,1,4,1020,1025,-5,1212,1231,-19,9E,3681,N8855A,EWR,DTW,84,488,10,25,2013-01-04T15:00:00Z
2013,1,4,1055,1100,-5,1350,1420,-30,DL,1275,N3767,JFK,SLC,276,1990,11,0,2013-01-04T16:00:00Z
2013,1,4,1136,1140,-4,1434,1450,-16,DL,930,N358NB,LGA,FLL,156,1076,11,40,2013-01-04T16:00:00Z
2013,1,4,1205,1200,5,1500,1545,-45,VX,25,N836VA,JFK,SFO,335,2586,12,0,2013-01-04T17:00:00Z
2013,1,4,1343,1218,85,1536,1415,81,EV,4641,N21144,EWR,CLT,90,529,12,18,2013-01-04T17:00:00Z
2013,1,4,1410,1410,0,1655,1721,-26,UA,1164,N33284,EWR,FLL,152,1065,14,10,2013-01-04T19:00:00Z
2013,1,4,1505,1459,6,1629,1634,-5,UA,1418,N33266,EWR,ORD,116,719,14,59,2013-01-04T19:00:00Z
2013,1,4,1536,1535,1,1834,1850,-16,AA,763,N3ERAA,LGA,DFW,204,1389,15,35,2013-01-04T20:00:00Z
2013,1,4,1625,1610,15,1815,1800,15,AA,341,N4WKAA,LGA,ORD,121,733,16,10,2013-01-04T21:00:00Z
2013,1,4,1644,1645,-1,1929,2005,-36,AA,181,N336AA,JFK,LAX,326,2475,16,45,2013-01-04T21:00:00Z
2013,1,4,1720,1700,20,2016,2014,2,B6,15,N203JB,JFK,FLL,161,1069,17,0,2013-01-04T22:00:00Z
2013,1,4,1744,1720,24,2045,2040,5,AA,1999,N5CRAA,EWR,MIA,154,1085,17,20,2013-01-04T22:00:00Z
2013,1,4,1805,1700,65,1929,1839,50,UA,689,N848UA,LGA,ORD,117,733,17,0,2013-01-04T22:00:00Z
2013,1,4,1816,1730,46,2019,1936,43,EV,4382,N13913,EWR,DTW,90,488,17,30,2013-01-04T22:00:00Z
2013,1,4,1819,1815,4,2053,2037,16,9E,3424,N924XJ,JFK,DTW,92,509,18,15,2013-01-04T23:00:00Z
2013,1,4,1839,1815,24,2000,1939,21,UA,1703,N27239,EWR,BOS,39,200,18,15,2013-01-04T23:00:00Z
2013,1,4,1841,1840,1,2024,2020,4,MQ,3730,N510MQ,EWR,ORD,118,719,18,40,2013-01-04T23:00:00Z
2013,1,4,1922,1930,-8,2112,2151,-39,9E,3798,N8611A,JFK,CLT,87,541,19,30,2013-01-05T00:00:00Z
2013,1,4,1952,1959,-7,2128,2144,-16,MQ,4423,N828MQ,JFK,RDU,67,427,19,59,2013-01-05T00:00:00Z
2013,1,4,2029,1947,42,2153,2112,41,EV,4412,N15910,EWR,BUF,56,282,19,47,2013-01-05T00:00:00Z
2013,1,4,2041,2000,41,2326,2318,8,UA,890,N426UA,EWR,MIA,147,1085,20,0,2013-01-05T01:00:00Z
2013,1,4,2113,2029,44,2157,2140,17,9E,3609,N8970D,JFK,PHL,26,94,20,29,2013-01-05T01:00:00Z
2013,1,4,2358,2359,-1,436,445,-9,B6,739,N821JB,JFK,PSE,199,1617,23,59,2013-01-05T04:00:00Z
2013,1,4,NA,1830,NA,NA,2044,NA,9E,3716,NA,EWR,DTW,NA,488,18,30,2013-01-04T23:00:00Z
2013,1,5,555,600,-5,818,837,-19,DL,461,N659DL,LGA,ATL,115,762,6,0,2013-01-05T11:00:00Z
2013,1,5,650,659,-9,955,959,-4,AA,1815,N5FAAA,JFK,MCO,149,944,6,59,2013-01-05T11:00:00Z
2013,1,5,705,655,10,931,921,10,B6,117,N346JB,JFK,MSY,182,1182,6,55,2013-01-05T11:00:00Z
2013,1,5,805,810,-5,1037,1039,-2,FL,346,N977AT,LGA,ATL,120,762,8,10,2013-01-05T13:00:00Z
2013,1,5,821,822,-1,1114,1129,-15,UA,341,N580UA,EWR,FLL,156,1065,8,22,2013-01-05T13:00:00Z
2013,1,5,857,900,-3,1225,1227,-2,DL,120,N705TW,JFK,LAX,344,2475,9,0,2013-01-05T14:00:00Z
2013,1,5,944,937,7,1057,1102,-5,B6,4,N599JB,JFK,BUF,56,301,9,37,2013-01-05T14:00:00Z
2013,1,5,957,1000,-3,1108,1125,-17,EV,5698,N828AS,LGA,IAD,49,229,10,0,2013-01-05T15:00:00Z
2013,1,5,1022,1015,7,1129,1131,-2,EV,3852,N19554,EWR,IAD,48,212,10,15,2013-01-05T15:00:00Z
2013,1,5,1331,1330,1,1554,1603,-9,DL,2043,N3757D,JFK,ATL,121,760,13,30,2013-01-05T18:00:00Z
2013,1,5,1443,1450,-7,1649,1626,23,9E,3983,N8855A,JFK,RIC,59,288,14,50,2013-01-05T19:00:00Z
2013,1,5,1450,1450,0,1630,1640,-10,MQ,4403,N853MQ,JFK,RDU,72,427,14,50,2013-01-05T19:00:00Z
2013,1,5,1524,1517,7,1814,1811,3,B6,537,N706JB,EWR,TPA,158,997,15,17,2013-01-05T20:00:00Z
2013,1,5,1527,1530,-3,1858,1855,3,AA,1039,N3HNAA,JFK,FLL,176,1069,15,30,2013-01-05T20:00:00Z
2013,1,5,1528,1510,18,1759,1745,14,MQ,4309,N610MQ,JFK,IND,120,665,15,10,2013-01-05T20:00:00Z
2013,1,5,1533,1529,4,1833,1840,-7,UA,1480,N78448,EWR,MIA,162,1085,15,29,2013-01-05T20:00:00Z
2013,1,5,1620,1625,-5,1749,1819,-30,EV,5085,N611QX,LGA,GSO,71,461,16,25,2013-01-05T21:00:00Z
2013,1,5,1823,1829,-6,2012,2006,6,EV,4527,N16919,EWR,GSO,79,445,18,29,2013-01-05T23:00:00Z
2013,1,5,1856,1850,6,2233,2240,-7,VX,29,N623VA,JFK,SFO,364,2586,18,50,2013-01-05T23:00:00Z
2013,1,5,1925,1855,30,2217,2212,5,DL,2391,N979DL,JFK,TPA,152,1005,18,55,2013-01-05T23:00:00Z
2013,1,5,2022,2011,11,2329,2322,7,UA,1299,N77525,EWR,RSW,165,1068,20,11,2013-01-06T01:00:00Z
2013,1,5,2027,2029,-2,2317,2330,-13,UA,1,N79279,EWR,PBI,148,1023,20,29,2013-01-06T01:00:00Z
2013,1,5,2136,2138,-2,2245,2257,-12,EV,4305,N10575,EWR,ROC,46,246,21,38,2013-01-06T02:00:00Z
2013,1,5,2140,2145,-5,2259,2311,-12,B6,104,N183JB,JFK,BUF,61,301,21,45,2013-01-06T02:00:00Z
2013,1,6,555,559,-4,930,930,0,UA,691,N512UA,JFK,SFO,352,2586,5,59,2013-01-06T10:00:00Z
2013,1,6,615,610,5,807,817,-10,DL,1919,N326US,LGA,MSP,150,1020,6,10,2013-01-06T11:00:00Z
2013,1,6,757,800,-3,1102,1054,8,B6,517,N635JB,EWR,MCO,156,937,8,0,2013-01-06T13:00:00Z
2013,1,6,758,729,29,1116,1039,37,B6,1601,N510JB,LGA,RSW,181,1080,7,29,2013-01-06T12:00:00Z
2013,1,6,830,830,0,1040,1023,17,9E,4220,N8883E,JFK,RDU,80,427,8,30,2013-01-06T13:00:00Z
2013,1,6,906,904,2,1313,1210,63,B6,17,N653JB,JFK,FLL,205,1069,9,4,2013-01-06T14:00:00Z
2013,1,6,912,915,-3,1225,1211,14,B6,41,N613JB,JFK,MCO,157,944,9,15,2013-01-06T14:00:00Z
2013,1,6,951,945,6,1122,1130,-8,AA,319,N566AA,LGA,ORD,122,733,9,45,2013-01-06T14:00:00Z
2013,1,6,1003,1006,-3,1117,1121,-4,EV,5711,N833AS,JFK,IAD,47,228,10,6,2013-01-06T15:00:00Z
2013,1,6,1019,1000,19,1148,1128,20,EV,4187,N11547,EWR,BNA,130,748,10,0,2013-01-06T15:00:00Z
2013,1,6,1019,1018,1,1330,1331,-1,UA,952,N474UA,EWR,RSW,176,1068,10,18,2013-01-06T15:00:00Z
2013,1,6,1139,1130,9,1436,1422,14,UA,1000,N33132,EWR,MCO,156,937,11,30,2013-01-06T16:00:00Z
2013,1,6,1203,1200,3,1430,1356,34,US,1443,N737US,JFK,CLT,106,541,12,0,2013-01-06T17:00:00Z
2013,1,6,1450,1450,0,1648,1640,8,MQ,4403,N828MQ,JFK,RDU,103,427,14,50,2013-01-06T19:00:00Z
2013,1,6,1506,1505,1,1809,1820,-11,AA,759,N3GUAA,LGA,DFW,213,1389,15,5,2013-01-06T20:00:00Z
2013,1,6,1518,1505,13,1811,1737,34,EV,3817,N10575,EWR,JAX,145,820,15,5,2013-01-06T20:00:00Z
2013,1,6,1519,1530,-11,1718,1725,-7,AA,2223,N4UBAA,LGA,STL,147,888,15,30,2013-01-06T20:00:00Z
2013,1,6,1554,1600,-6,1733,1732,1,9E,3453,N930XJ,JFK,BOS,37,187,16,0,2013-01-06T21:00:00Z
2013,1,6,1604,1600,4,1906,1915,-9,AA,565,N3CLAA,JFK,DFW,211,1391,16,0,2013-01-06T21:00:00Z
2013,1,6,1640,1640,0,1828,1835,-7,WN,372,N915WN,LGA,STL,135,888,16,40,2013-01-06T21:00:00Z
2013,1,6,1721,1644,37,1912,1820,52,EV,4485,N13958,EWR,RDU,75,416,16,44,2013-01-06T21:00:00Z
2013,1,6,1737,1729,8,1957,1935,22,EV,4382,N13202,EWR,DTW,84,488,17,29,2013-01-06T22:00:00Z
2013,1,6,1752,1730,22,1913,1855,18,WN,216,N291WN,EWR,MDW,111,711,17,30,2013-01-06T22:00:00Z
2013,1,6,1803,1805,-2,1945,1935,10,WN,389,N497WN,LGA,MDW,116,725,18,5,2013-01-06T23:00:00Z
2013,1,6,2011,2015,-4,2158,2210,-12,MQ,4555,N722MQ,LGA,CMH,80,479,20,15,2013-01-07T01:00:00Z
2013,1,6,2035,2039,-4,2144,2143,1,EV,4695,N27200,EWR,MHT,42,209,20,39,2013-01-07T01:00:00Z
2013,1,6,2101,2100,1,2,2343,19,B6,399,N580JB,LGA,MCO,158,950,21,0,2013-01-07T02:00:00Z
2013,1,7,720,722,-2,835,857,-22,UA,393,N446UA,EWR,ORD,113,719,7,22,2013-01-07T12:00:00Z
2013,1,7,721,720,1,1016,1023,-7,UA,1724,N16217,EWR,PBI,150,1023,7,20,2013-01-07T12:00:00Z
2013,1,7,750,800,-10,849,908,-19,US,2118,N958UW,LGA,BOS,39,184,8,0,2013-01-07T13:00:00Z
2013,1,7,802,805,-3,1016,1029,-13,9E,3538,N901XJ,JFK,MSP,165,1029,8,5,2013-01-07T13:00:00Z
2013,1,7,820,827,-7,1138,1140,-2,DL,2395,N369NW,LGA,PBI,157,1035,8,27,2013-01-07T13:00:00Z
2013,1,7,830,835,-5,1315,1340,-25,DL,301,N679DA,JFK,SJU,196,1598,8,35,2013-01-07T13:00:00Z
2013,1,7,1101,1043,18,1340,1340,0,UA,583,N658UA,EWR,IAH,195,1400,10,43,2013-01-07T15:00:00Z
2013,1,7,1255,1259,-4,1410,1420,-10,EV,4158,N13538,EWR,RIC,52,277,12,59,2013-01-07T17:00:00Z
2013,1,7,1258,1259,-1,1355,1408,-13,UA,561,N803UA,EWR,BOS,36,200,12,59,2013-01-07T17:00:00Z
2013,1,7,1327,1330,-3,1622,1640,-18,AA,753,N3FSAA,LGA,DFW,190,1389,13,30,2013-01-07T18:00:00Z
2013,1,7,1524,1530,-6,1714,1725,-11,AA,2223,N426AA,LGA,STL,132,888,15,30,2013-01-07T20:00:00Z
2013,1,7,1534,1530,4,1850,1910,-20,AA,85,N373AA,JFK,SFO,347,2586,15,30,2013-01-07T20:00:00Z
2013,1,7,1551,1600,-9,1706,1712,-6,US,2134,N958UW,LGA,BOS,33,184,16,0,2013-01-07T21:00:00Z
2013,1,7,1609,1509,60,1832,1741,51,EV,3817,N16561,EWR,JAX,124,820,15,9,2013-01-07T20:00:00Z
2013,1,7,1752,1745,7,2107,2120,-13,AA,177,N324AA,JFK,SFO,344,2586,17,45,2013-01-07T22:00:00Z
2013,1,7,1815,1820,-5,1958,2005,-7,AA,353,N3ARAA,LGA,ORD,122,733,18,20,2013-01-07T23:00:00Z
2013,1,7,1833,1835,-2,2155,2212,-17,DL,1643,N3764D,JFK,SEA,356,2422,18,35,2013-01-07T23:00:00Z
2013,1,7,1858,1855,3,2130,2142,-12,DL,951,N186DN,JFK,ATL,110,760,18,55,2013-01-07T23:00:00Z
2013,1,7,1903,1905,-2,2033,2040,-7,WN,981,N419WN,LGA,MKE,114,738,19,5,2013-01-08T00:00:00Z
2013,1,7,2000,2005,-5,2117,2133,-16,EV,4224,N13956,EWR,MKE,117,725,20,5,2013-01-08T01:00:00Z
2013,1,7,2204,2130,34,59,25,34,B6,383,N510JB,LGA,FLL,149,1076,21,30,2013-01-08T02:00:00Z
2013,1,8,558,600,-2,905,912,-7,B6,135,N571JB,JFK,RSW,170,1074,6,0,2013-01-08T11:00:00Z
2013,1,8,711,705,6,1007,1035,-28,VX,399,N837VA,JFK,LAX,334,2475,7,5,2013-01-08T12:00:00Z
2013,1,8,725,730,-5,1026,1040,-14,AA,715,N436AA,LGA,DFW,211,1389,7,30,2013-01-08T12:00:00Z
2013,1,8,800,800,0,1043,1054,-11,B6,517,N806JB,EWR,MCO,138,937,8,0,2013-01-08T13:00:00Z
2013,1,8,823,810,13,1112,1043,29,DL,269,N377NW,JFK,ATL,126,760,8,10,2013-01-08T13:00:00Z
2013,1,8,828,835,-7,1048,1105,-17,MQ,4610,N0EGMQ,LGA,ATL,120,762,8,35,2013-01-08T13:00:00Z
2013,1,8,838,840,-2,941,1003,-22,9E,3422,N934XJ,JFK,BOS,42,187,8,40,2013-01-08T13:00:00Z
2013,1,8,856,855,1,1059,1104,-5,9E,3353,N902XJ,JFK,DTW,94,509,8,55,2013-01-08T13:00:00Z
2013,1,8,918,920,-2,1306,1240,26,AA,1589,N469AA,EWR,DFW,242,1372,9,20,2013-01-08T14:00:00Z
2013,1,8,1011,1015,-4,1326,1340,-14,US,75,N812AW,EWR,PHX,286,2133,10,15,2013-01-08T15:00:00Z
2013,1,8,1119,1130,-11,1309,1334,-25,US,1625,N565UW,LGA,CLT,87,544,11,30,2013-01-08T16:00:00Z
2013,1,8,1250,1259,-9,1533,1556,-23,B6,991,N249JB,JFK,PBI,147,1028,12,59,2013-01-08T17:00:00Z
2013,1,8,1314,1215,59,1418,1328,50,EV,4087,N13566,EWR,PWM,48,284,12,15,2013-01-08T17:00:00Z
2013,1,8,1348,1350,-2,1531,1545,-14,MQ,4577,N542MQ,LGA,CLT,86,544,13,50,2013-01-08T18:00:00Z
2013,1,8,1353,1350,3,1650,1708,-18,UA,1164,N37413,EWR,FLL,154,1065,13,50,2013-01-08T18:00:00Z
2013,1,8,1446,1455,-9,1609,1645,-36,AA,337,N598AA,LGA,ORD,118,733,14,55,2013-01-08T19:00:00Z
2013,1,8,1451,1325,86,1931,1810,81,B6,705,N531JB,JFK,SJU,199,1598,13,25,2013-01-08T18:00:00Z
2013,1,8,1542,1550,-8,1753,1826,-33,9E,3427,N928XJ,JFK,IND,104,665,15,50,2013-01-08T20:00:00Z
2013,1,8,1623,1630,-7,1849,1838,11,DL,2231,N370NW,LGA,DTW,105,502,16,30,2013-01-08T21:00:00Z
2013,1,8,1635,1645,-10,1854,1853,1,EV,4997,N755EV,EWR,DTW,109,488,16,45,2013-01-08T21:00:00Z
2013,1,8,1701,1705,-4,1859,1905,-6,WN,440,N473WN,EWR,STL,146,872,17,5,2013-01-08T22:00:00Z
2013,1,8,1713,1720,-7,2047,2033,14,DL,1779,N331NW,LGA,FLL,159,1076,17,20,2013-01-08T22:00:00Z
